#Title: Towards Detecting The 2175 Angstrom Dust Feature Associated With Strong
#       High Redshift Mg II Absorption Lines
#Authors: Jiang P., Ge J., Zhou H., Wang J., Wang T.
#Table: Median Composite DR7 Quasar Spectrum
#================================================================================
#Byte-by-byte Description of file: apj387309t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  6 F6.1   0.1nm   Wave   Wavelength; in Angstroms
#   8- 14 F7.3   ---     flamb  Monochromatic flux; arbitrary units
#  16- 20 F5.3   ---   e_flamb  Uncertainty in flamb
#--------------------------------------------------------------------------------
1083.0  38.215 0.093
1084.0  38.095 0.093
1085.0  37.933 0.092
1086.0  37.510 0.092
1087.0  37.070 0.091
1088.0  36.478 0.090
1089.0  36.245 0.090
1090.0  36.021 0.090
1091.0  35.761 0.089
1092.0  35.317 0.088
1093.0  35.258 0.087
1094.0  35.230 0.087
1095.0  35.012 0.087
1096.0  34.970 0.087
1097.0  34.547 0.086
1098.0  34.726 0.086
1099.0  34.572 0.086
1100.0  34.593 0.086
1101.0  34.391 0.085
1102.0  34.341 0.084
1103.0  34.076 0.084
1104.0  34.448 0.084
1105.0  34.842 0.084
1106.0  34.371 0.083
1107.0  34.294 0.082
1108.0  34.699 0.083
1109.0  34.814 0.082
1110.0  34.720 0.082
1111.0  35.934 0.083
1112.0  36.321 0.082
1113.0  35.540 0.081
1114.0  34.450 0.079
1115.0  35.313 0.081
1116.0  37.037 0.082
1117.0  37.167 0.081
1118.0  36.002 0.079
1119.0  36.181 0.080
1120.0  36.289 0.079
1121.0  36.136 0.079
1122.0  36.371 0.079
1123.0  36.563 0.078
1124.0  36.295 0.078
1125.0  35.994 0.077
1126.0  35.910 0.077
1127.0  35.798 0.076
1128.0  36.648 0.077
1129.0  37.085 0.077
1130.0  35.790 0.075
1131.0  34.822 0.074
1132.0  35.005 0.075
1133.0  34.813 0.074
1134.0  34.796 0.074
1135.0  34.578 0.073
1136.0  34.501 0.074
1137.0  34.609 0.074
1138.0  34.471 0.073
1139.0  33.903 0.072
1140.0  33.977 0.072
1141.0  33.614 0.072
1142.0  33.927 0.072
1143.0  33.910 0.072
1144.0  33.664 0.071
1145.0  33.621 0.071
1146.0  33.833 0.071
1147.0  34.126 0.071
1148.0  34.028 0.070
1149.0  33.667 0.069
